provider_id,hospital_name,city,state,zip_code,hospital_type,hospital_ownership,hospital_overall_rating,patient_experience_national_comparison,address,Latitudes,Longitudes
050145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,CA,93940,Acute Care Hospitals,Voluntary non-profit - Private,5,Above the national average,"23625 W R HOLMAN HIGHWAY
MONTEREY, CA
",36.5790057,-121.9132381
050393,PIH HOSPITAL - DOWNEY,DOWNEY,CA,90241,Acute Care Hospitals,Voluntary non-profit - Private,3,Below the national average,"11500 BROOKSHIRE AVENUE
DOWNEY, CA
",33.9343061,-118.1309877
050488,EDEN MEDICAL CENTER,CASTRO VALLEY,CA,94546,Acute Care Hospitals,Voluntary non-profit - Other,3,Same as the national average,"20103 LAKE CHABOT ROAD
CASTRO VALLEY, CA
",37.6983405,-122.0896915
050567,MISSION HOSPITAL REGIONAL MED CENTER,MISSION VIEJO,CA,92691,Acute Care Hospitals,Voluntary non-profit - Private,3,Below the national average,"27700 MEDICAL CENTER RD
MISSION VIEJO, CA
",33.5610516,-117.6654655
050684,MENIFEE VALLEY MEDICAL CENTER,SUN CITY,CA,92585,Acute Care Hospitals,Physician,2,Below the national average,"28400 MCCALL B0ULEVARD
SUN CITY, CA
",33.7189772,-117.1681518
051317,ST HELENA HOSPITAL-CLEARLAKE,CLEARLAKE,CA,95422,Critical Access Hospitals,Voluntary non-profit - Church,2,Below the national average,"15630 18TH AVE - HWY 53
CLEARLAKE, CA
",38.9353458,-122.6200816
080003,ST FRANCIS HOSPITAL,WILMINGTON,DE,19805,Acute Care Hospitals,Voluntary non-profit - Private,4,Below the national average,"7TH AND CLAYTON STS
WILMINGTON, DE
",39.7495353,-75.5666186
100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,DAVENPORT,FL,33837,Acute Care Hospitals,Proprietary,2,Below the national average,"40100 US HWY 27 N
DAVENPORT, FL
",28.1814929,-81.6418777
100183,CORAL GABLES HOSPITAL,CORAL GABLES,FL,33134,Acute Care Hospitals,Proprietary,3,Below the national average,"3100 DOUGLAS RD
CORAL GABLES, FL
",25.7435082,-80.2547701
100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,GAINESVILLE,FL,32605,Acute Care Hospitals,Proprietary,3,Below the national average,"6500 NEWBERRY RD
GAINESVILLE, FL
",29.6603042,-82.4115721
100209,KENDALL REGIONAL MEDICAL CENTER,MIAMI,FL,33175,Acute Care Hospitals,Proprietary,3,Below the national average,"11750 BIRD RD
MIAMI, FL
",25.7309346,-80.3861403
100244,CAPE CORAL HOSPITAL,CAPE CORAL,FL,33990,Acute Care Hospitals,Government - Hospital District or Authority,2,Below the national average,"636 DEL PRADO BLVD
CAPE CORAL, FL
",26.6394379,-81.943245
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,THOMASVILLE,GA,31792,Acute Care Hospitals,Voluntary non-profit - Private,3,Same as the national average,"915 GORDON AVENUE &amp; MIMOSA DRIVE
THOMASVILLE, GA
",30.8251841,-83.9720565
110128,MEADOWS REGIONAL MEDICAL CENTER,VIDALIA,GA,30474,Acute Care Hospitals,Proprietary,3,Above the national average,"ONE MEADOWS PARKWAY
VIDALIA, GA
",32.2090345,-82.3758517
111313,PUTNAM GENERAL HOSPITAL,EATONTON,GA,31024,Critical Access Hospitals,Government - Hospital District or Authority,3,Not Available,"101 LAKE OCONEE PARKWAY
EATONTON, GA
",33.3358149,-83.3712396
111335,LIBERTY REGIONAL MEDICAL CENTER,HINESVILLE,GA,31310,Critical Access Hospitals,Government - Hospital District or Authority,3,Same as the national average,"462 E G MILES PARKWAY
HINESVILLE, GA
",31.8394772,-81.6009755
120028,NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,HI,96743,Acute Care Hospitals,Voluntary non-profit - Private,3,Same as the national average,"67 1125 MAMALAHOA HIGHWAY
KAMUELA, HI
",20.02287,-155.6650027
140002,ALTON MEMORIAL HOSPITAL,ALTON,IL,62002,Acute Care Hospitals,Voluntary non-profit - Private,3,Same as the national average,"ONE MEMORIAL DRIVE
ALTON, IL
",38.8996874,-90.1591356
130013,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,NAMPA,ID,83686,Acute Care Hospitals,Voluntary non-profit - Church,4,Below the national average,"1512 TWELFTH AVENUE ROAD
NAMPA, ID
",43.553871,-116.5706709
140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,JOLIET,IL,60435,Acute Care Hospitals,Voluntary non-profit - Church,2,Same as the national average,"333 N MADISON
JOLIET, IL
",41.5278676,-88.1358334
140018,MT SINAI HOSPITAL MEDICAL CENTER,CHICAGO,IL,60608,Acute Care Hospitals,Voluntary non-profit - Private,2,Below the national average,"15TH STREET AT CALIFORNIA
CHICAGO, IL
",41.8601109,-87.6957067
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ALTON,IL,62002,Acute Care Hospitals,Voluntary non-profit - Church,3,Above the national average,"ST ANTHONY'S WAY
ALTON, IL
",38.9075493,-90.1719701
140118,METROSOUTH MEDICAL CENTER,BLUE ISLAND,IL,60406,Acute Care Hospitals,Proprietary,2,Below the national average,"12935 S GREGORY
BLUE ISLAND, IL
",41.6580995,-87.6782769
140191,INGALLS MEMORIAL HOSPITAL,HARVEY,IL,60426,Acute Care Hospitals,Voluntary non-profit - Private,3,Below the national average,"ONE INGALLS DRIVE
HARVEY, IL
",41.607243,-87.6595979
140210,HARRISBURG MEDICAL CENTER,HARRISBURG,IL,62946,Acute Care Hospitals,Voluntary non-profit - Other,3,Same as the national average,"100 DOCTOR WARREN TUTTLE DR
HARRISBURG, IL
",37.730881,-88.5248334
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,ELK GROVE VILLAGE,IL,60007,Acute Care Hospitals,Voluntary non-profit - Church,4,Same as the national average,"800 W BIESTERFIELD RD
ELK GROVE VILLAGE, IL
",42.0047644,-88.0164522
150069,KING'S DAUGHTERS' HEALTH,MADISON,IN,47250,Acute Care Hospitals,Voluntary non-profit - Private,4,Above the national average,"1373 EAST SR 62
MADISON, IN
",38.7925352,-85.3642044
150089,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,MUNCIE,IN,47303,Acute Care Hospitals,Voluntary non-profit - Private,3,Below the national average,"2401 UNIVERSITY AVE
MUNCIE, IN
",40.1968976,-85.4146284
150128,COMMUNITY HOSPITAL SOUTH,INDIANAPOLIS,IN,46227,Acute Care Hospitals,Voluntary non-profit - Private,4,Same as the national average,"1402 E COUNTY LINE RD S
INDIANAPOLIS, IN
",39.6365539,-86.132546
161377,MERCY MEDICAL CENTER-CENTERVILLE,CENTERVILLE,IA,52544,Critical Access Hospitals,Voluntary non-profit - Private,4,Same as the national average,"ONE ST JOSEPH'S DRIVE
CENTERVILLE, IA
",40.7557317,-92.8570527
170166,MORTON COUNTY HOSPITAL,ELKHART,KS,67950,Acute Care Hospitals,Government - Local,3,Not Available,"445 N HILLTOP
ELKHART, KS
",37.0025552,-101.9047326
171373,ALLEN COUNTY REGIONAL HOSPITAL,IOLA,KS,66749,Critical Access Hospitals,Government - State,2,Same as the national average,"3066 NORTH KENTUCKY STREET
IOLA, KS
",37.94859,-95.392147
171382,ATCHISON HOSPITAL,ATCHISON,KS,66002,Critical Access Hospitals,Voluntary non-profit - Private,3,Above the national average,"800 RAVIN HILL DRIVE
ATCHISON, KS
",39.5366253,-95.1282386
180010,SAINT JOSEPH HOSPITAL,LEXINGTON,KY,40504,Acute Care Hospitals,Voluntary non-profit - Church,2,Below the national average,"ONE SAINT JOSEPH DRIVE
LEXINGTON, KY
",38.0324504,-84.5236448
180079,HARRISON MEMORIAL HOSPITAL,CYNTHIANA,KY,41031,Acute Care Hospitals,Voluntary non-profit - Other,4,Above the national average,"1210 KY HWY 36 E
CYNTHIANA, KY
",38.3834944,-84.2774548
180080,BAPTIST HEALTH CORBIN,CORBIN,KY,40701,Acute Care Hospitals,Voluntary non-profit - Private,3,Same as the national average,"ONE TRILLIUM WAY
CORBIN, KY
",36.9228938,-84.120322
190116,MOREHOUSE GENERAL HOSPITAL,BASTROP,LA,71220,Acute Care Hospitals,Government - Hospital District or Authority,2,Same as the national average,"323 W WALNUT
BASTROP, LA
",32.7748321,-91.9172474
190144,MINDEN MEDICAL CENTER,MINDEN,LA,71055,Acute Care Hospitals,Proprietary,4,Above the national average,"NO 1 MEDICAL PLAZA
MINDEN, LA
",32.6177009,-93.286614
190145,LASALLE GENERAL HOSPITAL,JENA,LA,71342,Acute Care Hospitals,Government - Hospital District or Authority,3,Not Available,"187 NINTH ST/HWY 84 WEST
JENA, LA
",31.6938214,-92.1575962
200033,EASTERN MAINE MEDICAL CENTER,BANGOR,ME,04401,Acute Care Hospitals,Voluntary non-profit - Private,2,Below the national average,"PO BOX 404
BANGOR, ME
",44.8011821,-68.7778138
200018,AROOSTOOK MEDICAL CENTER,PRESQUE ISLE,ME,04769,Acute Care Hospitals,Voluntary non-profit - Private,3,Same as the national average,"PO BOX 151
PRESQUE ISLE, ME
",46.681153,-68.0158614
201312,WALDO COUNTY GENERAL HOSPITAL,BELFAST,ME,04915,Critical Access Hospitals,Voluntary non-profit - Private,3,Same as the national average,"PO BOX 287
BELFAST, ME
",44.4122271,-68.9939022
220010,LAWRENCE GENERAL HOSPITAL,LAWRENCE,MA,01842,Acute Care Hospitals,Voluntary non-profit - Private,2,Below the national average,"ONE GENERAL STREET
LAWRENCE, MA
",42.7098315,-71.149859
220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",BURLINGTON,MA,01803,Acute Care Hospitals,Voluntary non-profit - Private,3,Same as the national average,"41 &amp; 45 MALL ROAD
BURLINGTON, MA
",35.2424881,-85.6904792
230110,SPECTRUM HEALTH LUDINGTON HOSPITAL,LUDINGTON,MI,49431,Acute Care Hospitals,Voluntary non-profit - Other,4,Same as the national average,"ONE N ATKINSON DRIVE
LUDINGTON, MI
",43.9593366,-86.4292255
230132,HURLEY MEDICAL CENTER,FLINT,MI,48503,Acute Care Hospitals,Voluntary non-profit - Other,1,Below the national average,"ONE HURLEY PLAZA
FLINT, MI
",43.021205,-83.7047248
230197,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,GRAND BLANC,MI,48439,Acute Care Hospitals,Voluntary non-profit - Church,2,Below the national average,"ONE GENESYS PARKWAY
GRAND BLANC, MI
",42.892188,-83.6423725
230277,HURON VALLEY-SINAI HOSPITAL,COMMERCE TOWNSHIP,MI,48382,Acute Care Hospitals,Proprietary,3,Same as the national average,"ONE WILLIAM CARLS DRIVE
COMMERCE TOWNSHIP, MI
",42.592901,-83.499202
231303,SCHOOLCRAFT MEMORIAL HOSPITAL,MANISTIQUE,MI,49854,Critical Access Hospitals,Government - Local,4,Above the national average,"7870W US HIGHWAY 2
MANISTIQUE, MI
",45.9845353,-86.1322864
231322,MUNSON HEALTHCARE CHARLEVOIX HOSPITAL,CHARLEVOIX,MI,49720,Critical Access Hospitals,Voluntary non-profit - Other,3,Above the national average,"14700 LAKESHORE DRIVE
CHARLEVOIX, MI
",45.314328,-85.274572
250006,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,NEW ALBANY,MS,38652,Acute Care Hospitals,Voluntary non-profit - Other,4,Above the national average,"200 HWY 30 WEST
NEW ALBANY, MS
",34.4975149,-89.0276986
250027,WINSTON MEDICAL CENTER & SWINGBED,LOUISVILLE,MS,39339,Acute Care Hospitals,Voluntary non-profit - Private,3,Not Available,"17550 EAST MAIN STREET
LOUISVILLE, MS
",33.124245,-89.0367029
250057,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,BROOKHAVEN,MS,39601,Acute Care Hospitals,Voluntary non-profit - Other,4,Above the national average,"P O BOX 948/427 HIGHWAY 51 NORTH
BROOKHAVEN, MS
",31.5883282,-90.4569151
250084,MERIT HEALTH NATCHEZ,NATCHEZ,MS,39120,Acute Care Hospitals,Proprietary,2,Below the national average,"52 SERGEANT PRENTISS DRIVE
NATCHEZ, MS
",31.5203145,-91.3886597
260020,MERCY HOSPITAL ST LOUIS,SAINT LOUIS,MO,63141,Acute Care Hospitals,Voluntary non-profit - Private,4,Above the national average,"615 NEW BALLAS ROAD
SAINT LOUIS, MO
",38.6455339,-90.4462228
260032,BARNES JEWISH HOSPITAL,SAINT LOUIS,MO,63110,Acute Care Hospitals,Voluntary non-profit - Other,2,Above the national average,"ONE BARNES-JEWISH HOSPITAL PLAZA
SAINT LOUIS, MO
",38.6352337,-90.2648651
260108,MISSOURI BAPTIST MEDICAL CENTER,TOWN AND COUNTRY,MO,63131,Acute Care Hospitals,Voluntary non-profit - Private,3,Same as the national average,"3015 N BALLAS RD
TOWN AND COUNTRY, MO
",38.6362225,-90.44652
260141,UNIVERSITY OF MISSOURI HEALTH CARE,COLUMBIA,MO,65212,Acute Care Hospitals,Government - State,2,Same as the national average,"ONE HOSPITAL DRIVE
COLUMBIA, MO
",38.9387994,-92.3272353
260142,FITZGIBBON HOSPITAL,MARSHALL,MO,65340,Acute Care Hospitals,Voluntary non-profit - Private,3,Same as the national average,"2305 S 65 HIGHWAY
MARSHALL, MO
",39.0918731,-93.2129173
260183,SAINT FRANCIS MEDICAL CENTER,CAPE GIRARDEAU,MO,63703,Acute Care Hospitals,Voluntary non-profit - Church,3,Above the national average,"211 ST FRANCIS DR
CAPE GIRARDEAU, MO
",37.3034048,-89.5714474
260214,BELTON REGIONAL MEDICAL CENTER,BELTON,MO,64012,Acute Care Hospitals,Voluntary non-profit - Private,3,Same as the national average,"17065 S 71 HIGHWAY
BELTON, MO
",38.8140323,-94.5044127
280009,CHI HEALTH GOOD SAMARITAN,KEARNEY,NE,68848,Acute Care Hospitals,Voluntary non-profit - Church,3,Same as the national average,"P O BOX 1990, 10 EAST 31ST ST
KEARNEY, NE
",40.7076254,-99.0818136
280013,THE NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,Acute Care Hospitals,Voluntary non-profit - Private,2,Above the national average,"987400 NEBRASKA MEDICAL CENTER
OMAHA, NE
",41.2564109,-95.9771025
281319,JEFFERSON COMMUNITY HEALTH CENTER,FAIRBURY,NE,68352,Critical Access Hospitals,Voluntary non-profit - Private,3,Not Available,"P O BOX 277, 2200 H ST
FAIRBURY, NE
",40.155788,-97.1749473
281334,BOONE COUNTY HEALTH CENTER,ALBION,NE,68620,Critical Access Hospitals,Government - Local,4,Above the national average,"P O BOX 151, 723 WEST FAIRVIEW ST
ALBION, NE
",41.6835132,-98.0054172
281336,YORK GENERAL HOSPITAL,YORK,NE,68467,Critical Access Hospitals,Voluntary non-profit - Private,3,Above the national average,"2222 LINCOLN AVE
YORK, NE
",40.882476,-97.592109
281338,HOWARD COUNTY MEDICAL CENTER,ST PAUL,NE,68873,Critical Access Hospitals,Voluntary non-profit - Other,3,Not Available,"P O BOX 406, 1113 SHERMAN ST
ST PAUL, NE
",41.2171009,-98.4631365
281344,CHERRY COUNTY HOSPITAL,VALENTINE,NE,69201,Critical Access Hospitals,Government - Local,3,Same as the national average,"P O BOX 410, 510 NORTH GREEN ST
VALENTINE, NE
",42.8783731,-100.5392673
281349,PENDER COMMUNITY HOSPITAL,PENDER,NE,68047,Critical Access Hospitals,Government - Hospital District or Authority,4,Above the national average,"P O BOX 100, 100 HOSPITAL DRIVE
PENDER, NE
",42.1055877,-96.7110334
281352,"COMMUNITY MEDICAL CENTER, INC",FALLS CITY,NE,68355,Critical Access Hospitals,Voluntary non-profit - Private,4,Above the national average,"P O BOX 399, 3307 BARADA ST
FALLS CITY, NE
",40.0777122,-95.6079865
281360,BOX BUTTE GENERAL HOSPITAL,ALLIANCE,NE,69301,Critical Access Hospitals,Government - Local,3,Same as the national average,"P O BOX 810, 2101 BOX BUTTE AVE
ALLIANCE, NE
",42.1165187,-102.8697371
281361,LEXINGTON REGIONAL HEALTH CENTER,LEXINGTON,NE,68850,Critical Access Hospitals,Government - Hospital District or Authority,3,Not Available,"P O BOX 980, 1201 NORTH ERIE ST
LEXINGTON, NE
",40.7854293,-99.757449
281363,COMMUNITY HOSPITAL,MCCOOK,NE,69001,Critical Access Hospitals,Voluntary non-profit - Other,4,Above the national average,"P O BOX 1328, 1301 EAST H ST
MCCOOK, NE
",40.205277,-100.6080491
281364,"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",BEATRICE,NE,68310,Critical Access Hospitals,Voluntary non-profit - Private,4,Above the national average,"P O BOX 278, 4800 HOSPITAL PARKWAY
BEATRICE, NE
",40.3159203,-96.7495458
290045,ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,HENDERSON,NV,89052,Acute Care Hospitals,Voluntary non-profit - Private,1,Below the national average,"3001 ST ROSE PARKWAY
HENDERSON, NV
",36.0045914,-115.1150534
291306,CARSON VALLEY MEDICAL CENTER,GARDNERVILLE,NV,89410,Critical Access Hospitals,Voluntary non-profit - Private,3,Same as the national average,"1107 HIGHWAY 395
GARDNERVILLE, NV
",38.919495,-119.7190448
310009,CLARA MAASS MEDICAL CENTER,BELLEVILLE,NJ,07109,Acute Care Hospitals,Voluntary non-profit - Private,3,Below the national average,"ONE CLARA MAASS DRIVE
BELLEVILLE, NJ
",40.7857505,-74.1764017
310010,UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO,PLAINSBORO,NJ,08536,Acute Care Hospitals,Voluntary non-profit - Private,3,Same as the national average,"ONE PLAINSBORO ROAD
PLAINSBORO, NJ
",40.3398191,-74.6240079
310011,CAPE REGIONAL MEDICAL CENTER INC,CAPE MAY COURT HOUSE,NJ,08210,Acute Care Hospitals,Voluntary non-profit - Private,3,Same as the national average,"TWO STONE HARBOR BLVD
CAPE MAY COURT HOUSE, NJ
",39.0875376,-74.8168417
310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,NEW BRUNSWICK,NJ,08901,Acute Care Hospitals,Voluntary non-profit - Private,2,Below the national average,"ONE ROBERT WOOD JOHNSON PLACE
NEW BRUNSWICK, NJ
",40.4953282,-74.4498466
310054,HACKENSACK-UMC MOUNTAINSIDE,MONTCLAIR,NJ,07042,Acute Care Hospitals,Voluntary non-profit - Private,2,Below the national average,"BAY AND HIGHLAND AVE
MONTCLAIR, NJ
",40.8105891,-74.2046182
310110,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,HAMILTON,NJ,08690,Acute Care Hospitals,Voluntary non-profit - Private,1,Below the national average,"ONE HAMILTON HEALTH PLACE
HAMILTON, NJ
",40.2161213,-74.6720664
320059,NORTHERN NAVAJO MEDICAL CENTER,SHIPROCK,NM,87420,Acute Care Hospitals,Government - Federal,2,Below the national average,"US HWY 491 NORTH
SHIPROCK, NM
",36.7844548,-108.6861275
321309,MIMBRES MEMORIAL HOSPITAL,DEMING,NM,88031,Critical Access Hospitals,Proprietary,2,Below the national average,"900 W ASH
DEMING, NM
",32.2612546,-107.7687535
330055,NEW YORK-PRESBYTERIAN/QUEENS,FLUSHING,NY,11355,Acute Care Hospitals,Voluntary non-profit - Private,2,Below the national average,"56-45 MAIN STREET
FLUSHING, NY
",40.7471206,-73.8251431
330058,GENEVA GENERAL HOSPITAL,GENEVA,NY,14456,Acute Care Hospitals,Voluntary non-profit - Private,3,Below the national average,"196 -198 NORTH STREET
GENEVA, NY
",42.876489,-76.9883041
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONEONTA,NY,13820,Acute Care Hospitals,Voluntary non-profit - Other,2,Same as the national average,"ONE NORTON AVENUE
ONEONTA, NY
",42.4579572,-75.0523319
330181,GLEN COVE HOSPITAL,GLEN COVE,NY,11542,Acute Care Hospitals,Voluntary non-profit - Private,2,Below the national average,"101 ST ANDREWS LANE
GLEN COVE, NY
",40.8707547,-73.6223514
330198,SOUTH NASSAU COMMUNITIES HOSPITAL,OCEANSIDE,NY,11572,Acute Care Hospitals,Voluntary non-profit - Private,2,Below the national average,"ONE HEALTHY WAY
OCEANSIDE, NY
",40.6512461,-73.6310463
330304,WHITE PLAINS HOSPITAL CENTER,WHITE PLAINS,NY,10601,Acute Care Hospitals,Voluntary non-profit - Private,3,Above the national average,"41 EAST POST R0AD
WHITE PLAINS, NY
",41.0260066,-73.769389
330385,NORTH CENTRAL BRONX HOSPITAL,BRONX,NY,10467,Acute Care Hospitals,Government - Local,2,Below the national average,"3424 KOSSUTH AVENUE &amp; 210TH STREET
BRONX, NY
",40.8805488,-73.8811176
330393,UNIVERSITY HOSPITAL ( STONY BROOK ),STONY BROOK,NY,11794,Acute Care Hospitals,Government - State,2,Same as the national average,"HEALTH SCIENCES CENTER SUNY
STONY BROOK, NY
",40.909791,-73.1161755
340127,GRANVILLE HEALTH SYSTEMS,OXFORD,NC,27565,Acute Care Hospitals,Government - Local,3,Same as the national average,"COLLEGE ST BOX 947
OXFORD, NC
",36.3263208,-78.5932275
340132,MARIA PARHAM MEDICAL CENTER,HENDERSON,NC,27536,Acute Care Hospitals,Proprietary,2,Below the national average,"PO BOX 59
HENDERSON, NC
",36.3295905,-78.3991638
340144,DAVIS REGIONAL MEDICAL CENTER,STATESVILLE,NC,28687,Acute Care Hospitals,Proprietary,3,Below the national average,"218 OLD MOCKSBVILLE RD PO BOX 1823
STATESVILLE, NC
",35.818754,-80.828965
341320,ALLEGHANY COUNTY MEMORIAL HOSPITAL,SPARTA,NC,28675,Critical Access Hospitals,Voluntary non-profit - Private,3,Not Available,"617 DOCTORS STREET
SPARTA, NC
",36.5095115,-81.1150447
341323,CHARLES A CANNON JR MEMORIAL HOSPITAL,LINVILLE,NC,28646,Critical Access Hospitals,Voluntary non-profit - Private,3,Same as the national average,"434 HOSPITAL DRIVE
LINVILLE, NC
",36.0604388,-81.8892477
351319,PEMBINA COUNTY MEMORIAL HOSPITAL,CAVALIER,ND,58220,Critical Access Hospitals,Voluntary non-profit - Private,3,Not Available,"BOX 380
CAVALIER, ND
",48.7925824,-97.6187762
360051,MIAMI VALLEY HOSPITAL,DAYTON,OH,45409,Acute Care Hospitals,Voluntary non-profit - Private,4,Below the national average,"ONE WYOMING STREET
DAYTON, OH
",39.745569,-84.1844696
360076,ATRIUM MEDICAL CENTER,FRANKLIN,OH,45005,Acute Care Hospitals,Voluntary non-profit - Private,4,Below the national average,"ONE MEDICAL CENTER DRIVE
FRANKLIN, OH
",39.4984493,-84.3138728
360098,LAKE HEALTH,CONCORD,OH,44077,Acute Care Hospitals,Voluntary non-profit - Private,4,Same as the national average,"7590 AUBURN ROAD
CONCORD, OH
",41.6627956,-81.2465525
360262,MERCY ST ANNE HOSPITAL,TOLEDO,OH,43623,Acute Care Hospitals,Voluntary non-profit - Church,5,Same as the national average,"3404 SYLVANIA AVENUE
TOLEDO, OH
",41.6935593,-83.6259731
370034,MCALESTER REGIONAL HEALTH CENTER AUTHORITY,MCALESTER,OK,74501,Acute Care Hospitals,Voluntary non-profit - Other,2,Below the national average,"ONE CLARK BASS BOULEVARD
MCALESTER, OK
",34.935835,-95.7497708
370049,STILLWATER MEDICAL CENTER AUTHORITY,STILLWATER,OK,74076,Acute Care Hospitals,Voluntary non-profit - Other,4,Above the national average,"1323 WEST 6TH STREET
STILLWATER, OK
",36.1150619,-97.0748541
370054,GRADY MEMORIAL HOSPITAL,CHICKASHA,OK,73018,Acute Care Hospitals,Government - Hospital District or Authority,3,Same as the national average,"2220 IOWA STREET
CHICKASHA, OK
",35.049241,-97.961299
370222,MCBRIDE ORTHOPEDIC HOSPITAL,OKLAHOMA CITY,OK,73114,Acute Care Hospitals,Physician,5,Above the national average,"9600 NORTH BROADWAY EXTENSION
OKLAHOMA CITY, OK
",35.5682789,-97.5107863
371313,"MERCY HOSPITAL KINGFISHER, INC",KINGFISHER,OK,73750,Critical Access Hospitals,Voluntary non-profit - Private,4,Not Available,"1000 KINGFISHER HOSPITAL DRIVE
KINGFISHER, OK
",35.8102465,-97.9447888
381319,ST ANTHONY HOSPITAL,PENDLETON,OR,97801,Critical Access Hospitals,Voluntary non-profit - Church,4,Above the national average,"2801 ST ANTHONY WAY
PENDLETON, OR
",45.6478212,-118.8122956
390013,EVANGELICAL COMMUNITY HOSPITAL,LEWISBURG,PA,17837,Acute Care Hospitals,Voluntary non-profit - Other,3,Above the national average,"ONE HOSPITAL DRIVE
LEWISBURG, PA
",40.9795926,-76.8864161
390032,ALLEGHENY VALLEY HOSPITAL,NATRONA,PA,15065,Acute Care Hospitals,Voluntary non-profit - Other,3,Below the national average,"1301 CARLISLE ST
NATRONA, PA
",40.618767,-79.736921
390066,GOOD SAMARITAN HOSPITAL,LEBANON,PA,17042,Acute Care Hospitals,Voluntary non-profit - Other,2,Above the national average,"FOURTH AND WALNUT STREETS
LEBANON, PA
",40.3371439,-76.4174986
390079,ROBERT PACKER HOSPITAL,SAYRE,PA,18840,Acute Care Hospitals,Voluntary non-profit - Other,2,Same as the national average,"ONE GUTHRIE SQUARE
SAYRE, PA
",41.9803903,-76.5199915
